latitude,longitude,elevation,slope,aspect,label,spatial_group,date,rainfall_7d_mm,sar_vv,sar_vh
25.092576,91.763689,12.0,0.9290392994880676,0.0,1,25_91,2017/03/06 00:00:00+00,37.0,0.06754002720117569,0.03077518567442894
25.51826286,91.9630294,1614.0,2.9355664253234863,288.4349365234375,1,25_91,2017/02/15 00:00:00+00,2.0,0.0,0.0
27.03596051,88.26257359,2120.0,17.012378692626953,327.99462890625,1,27_88,2018/05/14 00:00:00+00,59.5,0.5199344754219055,0.06373997032642365
25.9611,91.3681,182.0,5.633397579193115,80.53768157958984,1,25_91,2016/07/07 00:00:00+00,423.3,0.0,0.0
27.1176,88.1069,2041.0,20.942670822143555,233.6156463623047,1,27_88,2016/07/20 00:00:00+00,516.5,0.23191452026367188,0.07761445641517639
27.201,88.4883,401.0,27.43708610534668,38.65980911254883,1,27_88,2007/09/07 00:00:00+00,409.8,0.0,0.0
26.3333,91.25,42.0,1.3137449026107788,45.0,1,26_91,2008/10/29 00:00:00+00,69.7,0.0,0.0
26.1619,91.7697,56.0,1.8575903177261353,90.0,1,26_91,2014/06/27 00:00:00+00,194.8,0.0,0.0
25.0821,91.7783,11.0,1.8575903177261353,180.0,1,25_91,2015/11/16 00:00:00+00,0.0,0.15342016518115997,0.10342548787593842
27.1954,88.6115,474.0,7.0403242111206055,113.19859313964844,1,27_88,2009/09/17 00:00:00+00,129.6,0.0,0.0
27.6558,88.605,1935.0,13.787696838378906,97.59464263916016,1,27_88,2012/09/19 00:00:00+00,323.4,0.0,0.0
27.7565,88.632,3891.0,17.71464729309082,203.96249389648438,1,27_88,2012/06/07 00:00:00+00,28.7,0.0,0.0
26.1324,91.8342,69.0,2.7851665019989014,270.0,1,26_91,2014/09/22 00:00:00+00,192.8,0.0,0.0
27.360364,88.651914,2250.0,47.995216369628906,61.189205169677734,1,27_88,2017/07/10 00:00:00+00,313.1,0.5901052951812744,0.06357669085264206
27.339,88.6065,1504.0,14.572376251220703,356.4236755371094,1,27_88,2012/06/14 00:00:00+00,98.5,0.0,0.0
26.1309,91.8383,107.0,7.941351890563965,215.5376739501953,1,26_91,2013/10/06 00:00:00+00,82.89999999999999,0.0,0.0
27.3721,88.708,3165.0,37.9265251159668,77.988525390625,1,27_88,2013/06/08 00:00:00+00,104.5,0.0,0.0
27.0638,88.4659,1169.0,12.43825912475586,342.89727783203125,1,27_88,2011/06/20 00:00:00+00,113.5,0.0,0.0
27.23279809,88.59292517,1303.0,9.211026191711426,180.0,1,27_88,2018/05/26 00:00:00+00,200.8,0.1427430659532547,0.019152769818902016
25.9702,91.8587,286.0,9.478460311889648,119.05460357666016,1,25_91,2014/10/05 00:00:00+00,11.0,0.0,0.0
27.4459,88.6193,1957.0,14.653542518615723,97.12501525878906,1,27_88,2007/04/11 00:00:00+00,155.5,0.0,0.0
25.38,91.88,1307.0,37.956573486328125,159.30455017089844,1,25_91,2007/07/26 00:00:00+00,411.3,0.0,0.0
26.1049,91.7369,158.0,15.588801383972168,144.4623260498047,1,26_91,2012/06/25 00:00:00+00,394.40000000000003,0.0,0.0
27.0875,88.6556,2180.0,17.736032485961914,210.46554565429688,1,27_88,2015/06/30 00:00:00+00,262.8,0.0,0.0
26.1548,91.7351,57.0,1.8575903177261353,90.0,1,26_91,2011/09/23 00:00:00+00,149.9,0.0,0.0
27.1027,88.1218,1119.0,19.119544982910156,280.7843017578125,1,27_88,2016/07/26 00:00:00+00,641.1,0.33105936646461487,0.11927752196788788
26.20450454,91.87202793,139.0,19.33139991760254,236.3099365234375,1,26_91,2017/07/03 00:00:00+00,235.4,0.9529817700386047,0.1201053261756897
26.10430759,91.86227824,156.0,27.899154663085938,297.3498840332031,1,26_91,2017/07/03 00:00:00+00,250.6,0.16837233304977417,0.08815561980009079
27.218333333333334,92.55111111111111,1614.0,29.13010597229004,171.6341094970703,0,27_92,,292.0,0.4007357656955719,0.08824384957551956
26.1468,91.6469,61.0,8.50308895111084,310.6012878417969,1,26_91,2015/02/14 00:00:00+00,0.8,0.7213791608810425,0.12512445449829102
26.10035658,91.87351723,104.0,14.380890846252441,251.56504821777344,1,26_91,2017/07/03 00:00:00+00,250.6,0.2063102275133133,0.1030745655298233
25.67836832,91.9234343,986.0,12.307198524475098,138.01278686523438,1,25_91,2017/06/17 00:00:00+00,253.29999999999998,0.08591100573539734,0.05198490992188454
26.191688,91.810079,95.0,11.904265403747559,67.38013458251953,1,26_91,2016/12/15 00:00:00+00,0.0,0.1275060474872589,0.06956448405981064
26.181606,91.772042,58.0,0.9290392994880676,270.0,1,26_91,2016/12/15 00:00:00+00,0.0,0.19799856841564178,0.03580595180392265
27.0678,88.456,1087.0,17.3898868560791,201.25050354003906,1,27_88,2015/07/01 00:00:00+00,114.1,0.36593136191368103,0.12532557547092438
26.1061808,91.85158907,205.0,29.56779670715332,239.03623962402344,1,26_91,2017/07/03 00:00:00+00,250.6,0.3137492537498474,0.05405839532613754
25.98361111111111,91.1138888888889,49.0,5.928031921386719,321.3401794433594,0,25_91,,26.9,0.3389287292957306,0.04165361449122429
27.01145644,92.64204045,229.0,29.037012100219727,263.2901611328125,1,27_92,2017/07/01 00:00:00+00,233.4,0.1911228895187378,0.027694104239344597
25.82860033,91.876717,612.0,12.04025650024414,351.25384521484375,1,25_91,2017/07/06 00:00:00+00,293.5,0.6741150617599487,0.15914297103881836
27.084444444444443,92.86944444444445,1237.0,14.680480003356934,201.80140686035156,0,27_92,,139.9,0.3137471079826355,0.1330641508102417
27.985277777777778,88.03777777777778,6212.0,30.824691772460938,132.7974090576172,0,27_88,,6.8,0.5744807124137878,0.2966095507144928
25.521666666666665,91.70722222222223,1809.0,28.326976776123047,313.7811279296875,0,25_91,,46.1,0.16921435296535492,0.02582092024385929
27.942777777777778,92.79138888888889,4525.0,9.948770523071289,326.3099365234375,0,27_92,,113.7,0.7729953527450562,0.03488470986485481
27.651666666666664,88.17972222222222,5158.0,23.587764739990234,74.93151092529297,0,27_88,,43.9,0.2565501928329468,0.041627805680036545
26.16066111,91.85294885,110.0,11.93842601776123,274.3987121582031,1,26_91,2017/04/05 00:00:00+00,174.3,0.18615274131298065,0.2811840772628784
25.91638888888889,91.00027777777778,78.0,16.29585838317871,326.3099365234375,0,25_91,,66.6,0.22587445378303528,0.05109870061278343
27.303999,92.407813,2129.0,23.310029983520508,340.20111083984375,1,27_92,2017/09/30 00:00:00+00,96.5,0.09175306558609009,0.04363125190138817
27.1695,88.3664,1586.0,23.66005516052246,87.87890625,1,27_88,2016/10/15 00:00:00+00,275.6,0.262719988822937,0.0672864019870758
27.041666666666664,88.03777777777778,2793.0,26.386966705322266,348.6900634765625,0,27_88,,189.3,0.22050975263118744,0.02713719941675663
25.46194444444444,91.38805555555555,1537.0,3.9357235431671143,225.0,0,25_91,,85.0,0.052179355174303055,0.015286067500710487
26.19037705,91.77306002,87.0,16.007875442504883,137.2906036376953,1,26_91,2017/07/10 00:00:00+00,242.7,0.9365272521972656,0.08625747263431549
26.935,91.28972222222222,1274.0,11.196626663208008,304.9920349121094,0,26_91,,177.0,0.244510218501091,0.052235186100006104
25.02583333333333,91.54777777777778,16.0,1.3137449026107788,315.0,0,25_91,,194.8,0.29741257429122925,0.05864797532558441
25.17611111111111,91.84666666666668,36.0,6.208319664001465,63.4349479675293,0,25_91,,238.20000000000002,0.23694713413715363,0.0428461916744709
27.483888888888888,88.96166666666667,4179.0,22.861339569091797,270.0,0,27_88,,155.1,0.09224588423967361,0.03685053437948227
27.17361111111111,88.44944444444445,1507.0,26.87909507751465,82.64762115478516,0,27_88,,268.6,0.16454143822193146,0.026293016970157623
25.814722222222223,91.3313888888889,245.0,7.8881916999816895,200.55604553222656,0,25_91,,96.5,0.40204668045043945,0.053460992872714996
27.203888888888887,92.59944444444444,1181.0,15.103787422180176,122.7352294921875,0,27_92,,259.0,0.2134571522474289,0.05557534471154213
27.779999999999998,88.14111111111112,5193.0,9.609186172485352,286.6992492675781,0,27_88,,19.3,0.27750518918037415,0.017208723351359367
26.071666666666665,91.89472222222223,109.0,17.012378692626953,122.00538635253906,0,26_91,,103.4,0.2489439845085144,0.024165265262126923
26.06888888888889,91.90472222222223,61.0,3.825169801712036,284.0362548828125,0,26_91,,103.4,0.29549548029899597,0.10654667019844055
25.261666666666667,91.22722222222222,213.0,19.293107986450195,166.6074981689453,0,25_91,,114.2,0.34600141644477844,0.03276747465133667
27.834444444444443,92.46055555555556,5402.0,6.4761247634887695,270.0,0,27_92,,89.0,0.15553779900074005,0.015410030260682106
26.314999999999998,91.39444444444445,46.0,3.3461828231811523,326.3099365234375,0,26_91,,71.8,0.056611306965351105,0.04285316914319992
26.298333333333332,91.82277777777779,54.0,4.147892951965332,153.43495178222656,0,26_91,,66.6,0.17926263809204102,0.015372914262115955
27.911388888888887,88.93861111111111,5413.0,27.932462692260742,293.4286804199219,0,27_88,,26.3,0.07445190101861954,0.039742279797792435
27.72611111111111,88.50166666666667,5072.0,28.3702335357666,131.3477783203125,0,27_88,,55.1,0.13893519341945648,0.12940260767936707
27.10333333333333,88.54722222222223,1657.0,18.485084533691406,112.83365631103516,0,27_88,,244.5,1.0042756795883179,0.10370524972677231
26.904444444444444,91.77777777777779,688.0,11.04906177520752,41.633541107177734,0,26_91,,134.7,0.34619179368019104,0.06099897250533104
27.031388888888888,92.12055555555555,1262.0,19.502490997314453,254.0546112060547,0,27_92,,171.4,0.1756453961133957,0.08220445364713669
26.821944444444444,91.82361111111112,199.0,2.9355664253234863,198.43495178222656,0,26_91,,42.5,0.1566126048564911,0.058780487626791
26.87972222222222,91.57361111111112,1169.0,46.88154220581055,48.07745361328125,0,26_91,,239.29999999999998,0.2143869251012802,0.057027727365493774
25.67833333333333,91.845,900.0,7.448564052581787,262.8749694824219,0,25_91,,193.1,0.05142318084836006,0.023978259414434433
26.44472222222222,91.7788888888889,58.0,1.8575903177261353,90.0,0,26_91,,116.6,0.059463661164045334,0.017288198694586754
27.374166666666664,88.94861111111112,3455.0,17.84246826171875,139.0856170654297,0,27_88,,242.0,0.09117592126131058,0.03190334886312485
26.65722222222222,91.06666666666668,54.0,2.6261098384857178,45.0,0,26_91,,158.9,0.23299477994441986,0.04492975398898125
25.05861111111111,91.20416666666667,7.0,0.0,270.0,0,25_91,,176.9,0.011288277804851532,0.003645282471552491
27.195277777777775,88.775,2586.0,16.647308349609375,77.47119140625,0,27_88,,312.8,0.22456738352775574,0.04169252887368202
27.235,88.7038888888889,1077.0,37.902442932128906,125.67640686035156,0,27_88,,271.3,0.3209497928619385,0.1392599195241928
26.791944444444443,91.95555555555556,165.0,2.9355664253234863,71.56504821777344,0,26_91,,87.0,0.12630200386047363,0.045860107988119125
25.675833333333333,91.42,1461.0,7.218233108520508,320.1944274902344,0,25_91,,47.8,0.06400122493505478,0.03094528242945671
25.335555555555555,91.79361111111112,1381.0,34.17470932006836,220.156005859375,0,25_91,,177.1,0.49483245611190796,0.0372498519718647
27.459166666666665,88.84305555555557,4362.0,41.958282470703125,129.14398193359375,0,27_88,,214.0,0.07906713336706161,0.00999267864972353
27.147499999999997,88.43694444444445,1244.0,23.66005516052246,177.87890625,0,27_88,,268.6,0.12306870520114899,0.0314081646502018
27.83138888888889,88.71194444444446,4307.0,18.88486671447754,354.5596618652344,0,27_88,,89.6,1.3779953718185425,0.05782752111554146
27.368333333333332,88.02666666666667,3238.0,25.58785629272461,61.69924545288086,0,27_88,,110.5,0.986827552318573,0.14051738381385803
26.419999999999998,91.9325,61.0,2.076667308807373,243.43495178222656,0,26_91,,82.8,0.18578383326530457,0.09879175573587418
25.089444444444442,91.66083333333334,15.0,1.3137449026107788,225.0,0,25_91,,319.8,0.03653603792190552,0.008091747760772705
26.83361111111111,91.17222222222223,783.0,22.997289657592773,43.45184326171875,0,26_91,,189.5,0.309607595205307,0.09986543655395508
